field,wikidata_label,wikidata_qid,information,artwork,photograph,art_photo,credit_line,location,object_location
accession number,inventory number/catalog code,P217/P528,,x,x,,,,
artist,creator,P170,,x,,,,,
artwork license,,,,,,x,,,
author,creator,P170,x,x,,,x,,
camera coord,coordinates of the point of view,P1259,,,x,,,,
credit line,,,,x,x,,,,
date,inception,P571,x,x,x,,,,
department,,,,x,x,,,,
depicted people,depicts,P180,,x,x,,,,
depicted place,depicts,P180,,x,x,,,,
description,(the description field itself),,x,x,x,,,,
dimensions,height/width/thickness,P2048/P2049/P2610,,x,x,,,,
exhibition history,exhibition history,P608,,x,x,,,,
inscriptions,inscription,P1684,,x,x,,,,
institution,collection,P195,,x,x,,,,
License,,,,,,,x,,
medium,made from material,P186,,x,x,,,,
notes,,,,x,x,,,,
object history,,,,x,x,,,,
Other,,,,,,,x,,
other_fields,,,x,,,,,,
other_versions,,,,x,x,x,,,
permission,,,x,x,x,,,,
photo date,,,,,,x,,,
photo description,,,,,,x,,,
photo license,,,,,,x,,,
photographer,creator,P170,,,x,x,,,
place of creation,location of creation,P1071,,x,,,,,
place of discovery,,,,x,,,,,
references,,,,x,x,,,,
source,based on,P144,x,x,x,x,,,
title,title,P1476,,x,x,,,,
wikidata,,,,x,x,x,,x,
1,coordinate location,P625,,,,,,x,
2,coordinate location,P625,,,,,,x,
3,coordinate location,P625,,,,,,x,
prec,,,,,,,,x,
,instance of,P31,,,,,,,
,creator's signature,P7457,,,,,,,
,depicts Iconclass notation,P1257,,,,,,,
,fabrication method,P2079,,,,,,,
,comissioned by,P88,,,,,,,
,owned by,P127,,,,,,,
(the location template is used for this),location,P276,,,,,,,
(this is the link to the commons item itself),image,P18,,,,,,,
,image with frame,P7420,,,,,,,
,image of backside,P7417,,,,,,,
,genre,P135,,,,,,,
,movement,P135,,,,,,,
,main subject,P921,,,,,,,
,inspired by,P1941,,,,,,,
