qid,searched,matches,material
Q2259977,yes,yes,acrylic
Q4691480,yes,yes,agate
Q14552475,yes,yes,alabaster
Q663,yes,,aluminum
Q17291407,yes,yes,amber
Q181908,yes,,andesite
Q836062,yes,,argillite
Q670887,yes,yes,bamboo
Q1112,yes,,barium
Q29817539,yes,yes,bark
Q1053956,yes,no,beads
Q13184,yes,no,berries
Q804070,yes,yes,bisque
Q173350,yes,yes,board
Q55347942,yes,yes,bone
Q101579652,yes,yes,book
Q2828250,yes,yes,brass
Q2778382,yes,yes,bronze
Q171917,yes,,calcite
Q12321255,yes,yes,canvas
Q6432723,yes,yes,card
Q193970,yes,,casein
Q45621,yes,,ceramic
Q170448,yes,,chalcedony
Q95965284,yes,yes,chalk
Q177463,yes,yes,charcoal
Q619865,yes,no,china
Q29814964,yes,yes,cinnabar
Q42302,yes,yes,clay
Q5849500,yes,,cloth
,yes,yes,color
Q18667172,yes,,composition board
Q583353,yes,yes,copper
Q97011139,yes,yes,coral
Q8231603,yes,yes,cotton
Q99826317,yes,,crayon
Q55352534,yes,yes,crystal
Q41159,yes,yes,diamond
Q1377111,yes,,earthenware
Q73344494,yes,yes,emerald
Q1102226,yes,yes,enamel
Q81025,yes,,feathers
Q189964,yes,,felt
Q66559339,yes,yes,fiber
Q2042162,yes,no,foam core
Q23422698,yes,yes,fur
Q1514256,yes,yes,gesso
Q1334300,yes,,gilding
Q70722524,yes,no,gilt
Q56369598,yes,yes,glass
Q1242466,yes,yes,glaze
Q70722524,yes,yes,gold
Q21281546,yes,yes,gouache
Q41177,yes,yes,granite
Q5309,yes,,graphite
Q43238,yes,yes,grass
Q4670978,yes,yes,gum arabic
Q5656329,yes,no,hardstone
Q90801961,yes,yes,horn
Q99900954,yes,,illustration board
Q127418,yes,yes,ink
Q6072283,yes,yes,iron
Q90278705,yes,yes,ivory
Q60733799,yes,yes,jade
Q107211,yes,,jute
Q29719333,yes,yes,lace
Q11236878,yes,,lacquer
Q1936519,yes,yes,lead
Q286,yes,,leather
Q185006,yes,yes,limestone
Q47089651,yes,yes,linen
Q108728,yes,,linoleum
Q200199,yes,yes,marble
Q1808397,yes,,masonite
Q38848,yes,yes,metal
Q114675,yes,no,mica
Q215865,yes,,mother of pearl
Q890914,yes,yes,mud
Q138979,yes,,nephrite
Q84942208,yes,yes,oak
Q22656,yes,yes,oil
Q174219,yes,yes,paint
Q13442814,yes,yes,paper
Q8353,yes,no,paper clips
Q226697,yes,yes,parchment
Q747457,yes,yes,pastel
Q12190,yes,yes,pen
Q15736718,yes,yes,pencil
P462,yes,yes,pigment
Q2050624,yes,yes,pitch
Q216054,yes,yes,plaster
Q11474,yes,yes,plastic
Q219803,yes,,plywood
Q56625581,yes,yes,polymer
Q130693,yes,yes,porcelain
Q50769,yes,,pyrite
Q14251138,yes,,raffia
Q323021,yes,,rattan
Q76626,yes,yes,resin
Q1134817,yes,yes,root
Q543923,yes,yes,rust
Q13085,yes,,sandstone
Q29809132,yes,yes,serpentine
Q1537820,yes,yes,shell
Q429659,yes,,shellac
Q11614515,yes,no,shikishi
Q10475001,yes,yes,silk
Q29809750,yes,yes,silver
Q707896,yes,,soapstone
Q55368248,yes,yes,staple
Q25593491,yes,yes,steel
Q617079,yes,yes,stone
Q50478641,yes,yes,string
Q29167534,yes,yes,tapestry
Q553,yes,yes,teeth
Q175166,yes,,tempera
Q60424,yes,,terracotta
Q28823,yes,,textile
Q29809500,yes,yes,thread
Q2141546,yes,,tortoise shell
Q5960345,yes,yes,turquoise
Q96745747,yes,yes,vellum
Q394001,yes,yes,wire
Q287,yes,yes,wood
Q42329,yes,yes,wool
