image_filename,locale,description,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.1140P.tif.jpg,en,"God bless the
churches and
blessed be God,
Who in this our
great trial giveth
us the churches
ALincoln,
(Œ†)
INTERCHURCH
WORLD MOVEMENT",24,440,25,580
1979.1140P.tif.jpg,,God,38,94,25,52
1979.1140P.tif.jpg,,bless,97,152,27,53
1979.1140P.tif.jpg,,the,156,195,28,55
1979.1140P.tif.jpg,,churches,38,146,58,78
1979.1140P.tif.jpg,,and,151,196,58,78
1979.1140P.tif.jpg,,blessed,38,117,83,104
1979.1140P.tif.jpg,,be,117,143,83,104
1979.1140P.tif.jpg,,God,147,196,83,104
1979.1140P.tif.jpg,,",",196,203,83,104
1979.1140P.tif.jpg,,Who,36,88,109,130
1979.1140P.tif.jpg,,in,93,112,109,129
1979.1140P.tif.jpg,,this,115,156,109,130
1979.1140P.tif.jpg,,our,159,197,110,130
1979.1140P.tif.jpg,,great,37,89,134,159
1979.1140P.tif.jpg,,trial,90,133,134,158
1979.1140P.tif.jpg,,giveth,134,197,133,158
1979.1140P.tif.jpg,,us,39,63,160,181
1979.1140P.tif.jpg,,the,65,99,160,180
1979.1140P.tif.jpg,,churches,103,194,159,178
1979.1140P.tif.jpg,,ALincoln,76,171,191,210
1979.1140P.tif.jpg,,",",165,181,186,208
1979.1140P.tif.jpg,,(,378,386,48,62
1979.1140P.tif.jpg,,Œ,379,389,48,62
1979.1140P.tif.jpg,,†,380,393,48,62
1979.1140P.tif.jpg,,),391,397,48,62
1979.1140P.tif.jpg,,INTERCHURCH,24,438,512,548
1979.1140P.tif.jpg,,WORLD,24,173,553,580
1979.1140P.tif.jpg,,MOVEMENT,190,440,553,580
