wikidataId,name,labelEn,alias,description,parentUnitReferenceRetrieved,officialWebsite
,African American and Diaspora Studies,Vanderbilt Department of African American and Diaspora Studies,"[""Vanderbilt African American and Diaspora Studies Department""]","department focused on interdisciplinary, cross-cultural, and comparative study of the lived experiences of Blacks dispersed throughout the world from the continent of Africa.",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/aads/
,American Studies,Vanderbilt Program in American Studies,"[""Vanderbilt American Studies Department"", ""Vanderbilt Department of American Studies""]",interdisciplinary program fostering the in-depth study of American cultures from a variety of perspectives,+2019-12-18T00:00:00Z,http://www.vanderbilt.edu/americanstudies
,Anthropology,Vanderbilt Department of Anthropology,"[""Vanderbilt Anthropology Department""]","department focused on a broadly-based study of humankind that draws its methods from both the sciences and humanities and includes the fields of cultural anthropology, archaeology, biological anthropology, and linguistics",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/anthropology
,Art,Vanderbilt Department of Art,"[""Vanderbilt Art Department""]",department presenting a curriculum that embraces a wide range of art methods and perspectives,+2019-12-18T00:00:00Z,http://www.vanderbilt.edu/arts
,Asian Studies,Vanderbilt Asian Studies Program,"[""Vanderbilt Asian Studies Department"",""Vanderbilt Department of Asian Studies""]",center for the study of Asian languages and cultures,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/asianstudies
Q78041310,Biological Sciences,Vanderbilt Department of Biological Sciences,"[""Vanderbilt Biological Sciences Department""]",,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/biosci
Q45132727,Chemistry,Vanderbilt Department of Chemistry,"[""Vanderbilt Chemistry Department""]","department with a particular emphasis on chemical biology, structural biology, molecular toxicology, materials chemistry, and nanotechnology",+2019-12-18T00:00:00Z,http://www.vanderbilt.edu/chemistry
,Cinema and Media Arts,Vanderbilt Department of Cinema and Media Arts,"[""Vanderbilt Cinema and Media Arts Department""]",department focused on filmmaking with the study of media theory and global film history,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/cinemamediaarts
,Classical and Mediterranean Studies,Vanderbilt Department of Classical and Mediterranean Studies,"[""Vanderbilt Classical and Mediterranean Studies Department""]",department offering an interdisciplinary perspective on the culture and history of the Mediterranean world,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/classics
,Communication of Science and Technology,Vanderbilt Communication of Science and Technology Program,"[""Vanderbilt Communication of Science and Technology Department"", ""Vanderbilt Department of Communication of Science and Technology""]",interdisciplinary program focused on communicating science to the public,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/cst/
,Communication Studies,Vanderbilt Department of Communication Studies,"[""Vanderbilt Communication Studies Department""]","department focused on the rhetorical tradition, communication skills, and investigation of classical means of persuasion, argumentation and debate",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/communication
,Earth and Environmental Sciences,Vanderbilt Department of Earth and Environmental Sciences,"[""Vanderbilt Earth and Environmental Sciences Department""]",department focused on understanding Earth's dynamic history and how geological processes affect modern environmental and ecological systems,+2019-12-18T00:00:00Z,http://www.vanderbilt.edu/ees
,Economics,Vanderbilt Department of Economics,"[""Vanderbilt Economics Department""]",department that provides rigorous training in micro and macroeconomics,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/econ
,English,Vanderbilt Department of English,"[""Vanderbilt English Department""]",department studying English,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/english
,European Studies,Vanderbilt Max Kade Center for European Studies,"[""Vanderbilt European Studies Department"",""Vanderbilt Department of European Studies""]",department focused on the study of European affairs,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/europeanstudies
,French and Italian,Vanderbilt Department of French and Italian,"[""Vanderbilt French and Italian Department""]","department focused on study of French and Italian language, history, civilization, film, business, and literature",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/french-italian
,"German, Russian and East European Studies","Vanderbilt Department of German, Russian and East European Studies","[""Vanderbilt German, Russian and East European Studies Department""]","department for the study of German, Russian, and East European histories, cultures, arts, and intellectual traditions",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/german
,History,Vanderbilt Department of History,"[""Vanderbilt History Department""]",department focused on a range of historical questions and methodologies,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/history
,History of Art,Vanderbilt Department of History of Art,"[""Vanderbilt History of Art Department""]","department focused on the major fields in world art, from ancient through modern",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/historyart
,Jewish Studies,Jewish Studies at Vanderbilt,"[""Vanderbilt Jewish Studies Department"", ""Vanderbilt Department of Jewish Studies""]","an interdisciplinary academic program that facilitates the critical study of Jewish history, religion, language, philosophy, politics, culture, society, music, art, and literature",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/jewishstudies
,Latino and Latina Studies,Vanderbilt Department of Latino and Latina Studies,"[""Vanderbilt Latino and Latina Studies Department""]",a multidisciplinary program that considers the presence of Latinas/os and Hispanics as an integral part of US culture and history,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/latinolatinastudies
,Mathematics,Vanderbilt Department of Mathematics,"[""Vanderbilt Mathematics Department""]",department for the study of mathematics,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/math
,Neuroscience,Interdisciplinary Program in Neuroscience for Undergraduates at Vanderbilt,"[""Vanderbilt Neuroscience Department"", ""Vanderbilt Department of Neuroscience""]",program for the study of the nervous system,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/neuroscience
,Philosophy,Vanderbilt Department of Philosophy,"[""Vanderbilt Philosophy Department""]",department studying the major areas of philosophical inquiry,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/philosophy
Q78779260,Physics and Astronomy,Vanderbilt Department of Physics and Astronomy,"[""Vanderbilt Physics and Astronomy Department""]",,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/physics
,Political Science,Vanderbilt Department of Political Science,"[""Vanderbilt Political Science Department""]","department spanning American politics, comparative politics, international relations, political theory, and political methodology",+2019-12-18T00:00:00Z,http://www.vanderbilt.edu/political-science
,Psychology,Vanderbilt Department of Psychology,"[""Vanderbilt Psychology Department""]",department spanning all sub-disciplines of psychology,+2019-12-18T00:00:00Z,https://www.vanderbilt.edu/psychology/
,Public Policy Studies,Public Policy Studies at Vanderbilt,"[""Vanderbilt Public Policy Studies Department"", ""Vanderbilt Department of Public Policy Studies""]","program focused on political science, economics, sociology, anthropology, philosophy, statistics, and public finance",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/publicpolicystudies/
,Religious Studies,Vanderbilt Department of Religious Studies,"[""Vanderbilt Religious Studies Department""]","department focused on study of the nature, history, and function of different religious traditions",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/religiousstudies
,Sociology,Vanderbilt Department of Sociology,"[""Vanderbilt Sociology Department""]",department focused on sociology,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/sociology
,Spanish and Portuguese,Vanderbilt Department of Spanish and Portuguese,"[""Vanderbilt Spanish and Portuguese Department""]","department focused on language, literature, linguistics, and culture of Spanish and Portuguese with courses in Catalan",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/spanish-portuguese
,Theatre,Vanderbilt Department of Theatre,"[""Vanderbilt Theatre Department""]",department focused on theatrical production and theatre studies,+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/theatre
,Women's and Gender Studies,Vanderbilt Department of Women's and Gender Studies,"[""Vanderbilt Women's and Gender Studies Department""]","program focused on recognizing that gender, race, class, ethnicity, age, sexuality, and nationality are crucial aspects of identity",+2019-12-18T00:00:00Z,https://as.vanderbilt.edu/wgs/
